"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16185","Browser Context Playwright Test","","2026-06-24","passed","2026-06-24","","ClientApp.spec.js","",""
"","15948","Browser Context Playwright Test","","2026-06-24","passed","2026-06-24","","ClientAppwithFilterlogic.spec.js","",""
"","10603","Client App login ADIDAS ORIGINAL","","2026-06-24","failed","2026-06-24","","ClientAppPOM.spec.js","",""
"","48657","Popup validations","","2026-06-24","passed","2026-06-24","","MoreValidation.spec.js","",""
"","4562","@API Place the order","","2026-06-24","passed","2026-06-24","","Networkintercept.spec.js","",""
"","5024","Playwright specific locators practice","","2026-06-24","passed","2026-06-24","","playwrightspecificlocators.spec.js","",""
"","18908","Client App login ZARA COAT 3","","2026-06-24","failed","2026-06-24","","ClientAppPOM.spec.js","",""
"","9506","Screenshot and visual comparison","","2026-06-24","passed","2026-06-24","","MoreValidation.spec.js","",""
"","4683","Upload download excel validation","","2026-06-24","failed","2026-06-24","","upload-download.spec.js","",""
"","44470","UI Control","","2026-06-24","passed","2026-06-24","","UIBasicsTest.spec.js","",""
"","15859","Calendar Validation","","2026-06-24","passed","2026-06-24","","calendar.spec.js","",""
"","4565","@API Place the order","","2026-06-24","passed","2026-06-24","","WebAPITest1.spec.js","",""
"","16504","Test with Custom Fixture","","2026-06-24","failed","2026-06-24","","ClientAppPOM.spec.js","",""
"","6919","Child window handling","","2026-06-24","passed","2026-06-24","","UIBasicsTest.spec.js","",""
"","10381","Browser Context Playwright Test","","2026-06-24","passed","2026-06-24","","UIBasicsTest.spec.js","",""
"","65806","Eventhub Assignment","","2026-06-24","passed","2026-06-24","","EventhubAssignment.spec.js","",""
"","2671","Test Case 2","","2026-06-24","passed","2026-06-24","","WebAPITest2.spec.js","",""
"","6185","@QW Security test request intercept","","2026-06-24","passed","2026-06-24","","Networkintercept2.spec.js","",""
"","18","visual UI page comparison","","2026-06-24","skipped","2026-06-24","","MoreValidation.spec.js","",""
"","7445","Browser Context Playwright Test","","2026-06-24","failed","2026-06-24","","WebAPITest2.spec.js","",""
